,Programa  de  CEDEAR,Alcance  Público  Inversor,Ratio  Cedear  /  valor  sub-yacente,ISIN  CEDEAR,Código  Caja  de  Valores,Id  de  mercado,Ticker  en  mercado  de  origen,ISIN  valor  subyacente,Valor  sub-yacente,País,Mercado  de  valor  subyacente,Frecuencia  de  pago  de  dividendo,Industra  o  sector,Sitio  web
180,PANASONIC CORP-SPON ADR,Calificado y No Calificado,2:1,ARDEUT111952,8201,PCRF,PCRFY,US69832A2050 ISIN,ADR,JAPON,OTC US,Semi-Anl,"Consumer, Cyclical",Link
181,PAYPAL HOLDINGS INC,Calificado y No Calificado,8:1,ARBCOM4601S0,8477,PYPL,PYPL,US70450Y1038 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,,"Consumer, Non-cyclical",Link
182,PEARSON PLC-SPONSORED ADR,Calificado y No Calificado,1:1,ARDEUT113966,8362,PSO,PSO,US7050151056 ISIN,ADR,REINO UNIDO,New York,Semi-Anl,Communications,Link
183,PEPSICO INC,Calificado y No Calificado,6:1,ARDEUT111416,8146,PEP,PEP,US7134481081 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,Quarter,"Consumer, Non-cyclical",Link
184,PETROCHINA CO LTD -ADR,Calificado y No Calificado,4:1,ARDEUT113958,8361,PTR,PTR,US71646E1001 ISIN,ADR,CHINA,New York,Semi-Anl,Energy,Link
185,PETROLEO BRASILEIRO-SPON ADR,Calificado y No Calificado,1:1,ARBCOM4602U4,8526,PBR,PBR,US71654V4086 ISIN,ADR,BRASIL,New York,Quarter,Energy,Link
186,PFIZER INC,Calificado y No Calificado,2:1,ARDEUT111424,8147,PFE,PFE,US7170811035 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,"Consumer, Non-cyclical",Link
187,PHILLIPS 66,Calificado y No Calificado,6:1,ARBCOM460333,8539,PSX,PSX,US7185461040 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Energy,Link
188,PITNEY BOWES INC,Calificado y No Calificado,1:1,ARDEUT111382,8143,PBI,PBI,US7244791007 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Technology,Link
189,POSCO- SPON ADR,Calificado y No Calificado,3:1,ARDEUT115276,8411,PKS,PKX,US6934831099 ISIN,ADR,Corea del Sur,New York,Quarter,Basic Materials,Link
190,PROCTER & GAMBLE CO/THE,Calificado y No Calificado,5:1,ARDEUT110335,8037,PG,PG,US7427181091 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,"Consumer, Non-cyclical",Link
191,QUALCOMM INC,Calificado y No Calificado,11:1,ARDEUT111457,8151,QCOM,QCOM,US7475251036 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,Quarter,Technology,Link
192,RAYTHEON TECHNOLOGIES CORP,Calificado y No Calificado,5:1,ARDEUT110384,8042,RTX,RTX,US75513E1010 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Industrial,Link
193,RIO TINTO PLC-SPON ADR,Calificado y No Calificado,4:1,ARDEUT112638,8267,RIO,RIO,US7672041008 ISIN,ADR,REINO UNIDO,New York,Semi-Anl,Basic Materials,Link
194,ROSS STORES INC,Calificado y No Calificado,4:1,ARBCOM4600Z7,8492,ROST,ROST,US7782961038 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,Irreg,"Consumer, Cyclical",Link
195,ROYAL DUTCH SHELL-SPON ADR-B,Calificado y No Calificado,2:1,ARDEUT112547,8255,RDS,RDSB,US7802591070 ISIN,ADR,Países Bajos,New York,Quarter,Energy,Link
196,SALESFORCE.COM INC,Calificado y No Calificado,6:1,ARBCOM4601J9,8478,CRM,CRM,US79466L3024 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,None,Technology,Link
197,SAMSUNG ELECTR-GDR REG S,Solo Calificado,14:1,ARDEUT115359,8413,SMSN,SMSN LI,US7960508882 ISIN,GDR,Corea del Sur,OTC US,Quarter,Technology,Link
198,SAP SE-SPONSORED ADR,Calificado y No Calificado,6:1,ARDEUT112034,8209,SAP,SAP,US8030542042 ISIN,ADR,ALEMANIA,New York,Annual,Technology,Link
199,SCHLUMBERGER LTD,Calificado y No Calificado,3:1,ARDEUT111515,8157,SLB,SLB,AN8068571086 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Energy,Link
200,SHOPIFY INC - CLASS A,Calificado y No Calificado,107:1,ARBCOM460341,8546,SHOP,SHOP,CA82509L1076 ISIN,Acción ordinaria,CANADA,New York,None,Communications,Link
201,SIEMENS AG-SPONS ADR,Calificado y No Calificado,3:1,ARDEUT112372,8256,SIEGY,SIEGY,US8261975010 ISIN,ADR,ALEMANIA,OTC US,Annual,Industrial,Link
202,SNAP INC - A,Calificado y No Calificado,1:1,ARBCOM4601H3,8488,SNAP,SNAP,US83304A1060 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,None,Communications,Link
203,SNAP-ON INC,Calificado y No Calificado,6:1,ARDEUT111549,8160,SNA,SNA,US8330341012 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Industrial,Link
204,SNOWFLAKE INC-CLASS A,Calificado y No Calificado,30:1,ARBCOM460358,8548,SNOW,SNOW,US8334451098 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,None,Technology,Link
205,SONY CORP-SPONSORED ADR,Calificado y No Calificado,4:1,ARDEUT112984,8294,SONY,SONY,US8356993076 ISIN,ADR,JAPON,New York,Semi-Anl,"Consumer, Cyclical",Link
206,SOUTHERN COPPER CORP,Calificado y No Calificado,2:1,ARDEUT116084,8435,SCCO,SCCO,US84265V1052 ISIN,Acción ordinaria,PERU,New York,Quarter,Basic Materials,Link
207,SPOTIFY TECHNOLOGY SA,Calificado y No Calificado,28:1,ARBCOM460366,8547,SPOT,SPOT,LU1778762911 ISIN,Acción ordinaria,Suecia,New York,None,Communications,Link
208,SQUARE INC - A,Calificado y No Calificado,20:1,ARBCOM460374,8545,SQ,SQ,US8522341036 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,None,"Consumer, Non-cyclical",Link
209,STARBUCKS CORP,Calificado y No Calificado,4:1,ARDEUT111481,8154,SBUX,SBUX,US8552441094 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,Quarter,"Consumer, Cyclical",Link
210,SUZANO SA - SPON ADR,Calificado y No Calificado,1:1,ARBCOM4602E8,8518,SUZ,SUZ,US86959K1051 ISIN,ADR,BRASIL,New York,Irreg,Basic Materials,Link
211,SYSCO CORP,Calificado y No Calificado,2:1,ARDEUT111598,8165,SYY,SYY,US8718291078 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,"Consumer, Non-cyclical",Link
212,TAIWAN SEMICONDUCTOR-SP ADR,Calificado y No Calificado,1:3,ARDEUT113016,8297,TSM,TSM,US8740391003 ISIN,ADR,TAIWAN,New York,Quarter,Technology,Link
213,TARGET CORP,Calificado y No Calificado,4:1,ARBCOM460101,8493,TGT,TGT,US87612E1064 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,"Consumer, Cyclical",Link
214,TATA MOTORS LTD-SPON ADR,Calificado y No Calificado,1:1,ARDEUT114097,8375,TTM,TTM,US8765685024 ISIN,ADR,INDIA,New York,Irreg,"Consumer, Cyclical",Link
215,TATNEFT PAO-SPONSORED ADR,Calificado y No Calificado,4:1,ARDEUT114089,8374,ATAD,OAOFY,US8766292051 ISIN,ADR,RUSSIA,OTC US,Irreg,Energy,Link
216,TELECOM ITALIA SPA-SPON ADR,Calificado y No Calificado,1:1,ARDEUT112059,8211,TIIAY,TIIAY,US87927Y1029 ISIN,ADR,ITALIA,OTC US,Annual,Communications,Link
217,TELEFONICA BRASIL-ADR,Calificado y No Calificado,1:1,ARBCOM4601W2,8503,VIV,VIV,US87936R2058 ISIN,ADR,BRASIL,New York,Semi-Anl,Communications,Link
218,TELEFONICA SA-SPON ADR,Calificado y No Calificado,8:1,ARDEUT110574,8062,TEFO,TEF,US8793822086 ISIN,ADR,ESPAÑA,New York,Semi-Anl,Communications,Link
219,TENARIS SA-ADR,Calificado y No Calificado,1:1,ARBCOM4602S8,8524,TEN,TS,US88031M1099 ISIN,ADR,LUXEMBURGO,New York,Semi-Anl,Industrial,Link
220,TERNIUM SA-SPONSORED ADR,Calificado y No Calificado,2:1,ARDEUT116019,8432,TXR,TX,US8808901081 ISIN,ADR,LUXEMBURGO,New York,Annual,Basic Materials,Link
221,TESLA INC,Calificado y No Calificado,15:1,ARBCOM4601K7,8479,TSLA,TSLA,US88160R1014 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,None,"Consumer, Cyclical",Link
222,TEXAS INSTRUMENTS INC,Calificado y No Calificado,5:1,ARDEUT111622,8168,TXN,TXN,US8825081040 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,Quarter,Technology,Link
223,THERMO FISHER SCIENTIFIC INC,Calificado y No Calificado,22:1,ARBCOM4601F7,8476,TMO,TMO,US8835561023 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,"Consumer, Non-cyclical",Link
224,TIM SA-ADR,Calificado y No Calificado,1:1,ARBCOM4602A6,8521,TSU,TIMB,US88706T1088 ISIN,ADR,BRASIL,New York,Annual,Communications,Link
225,TOTALENERGIES SE - ADR,Calificado y No Calificado,3:1,ARDEUT112075,8213,TTE,TTE,US89151E1091 ISIN,ADR,FRANCIA,New York,Quarter,Energy,Link
226,TOYOTA MOTOR CORP -SPON ADR,Calificado y No Calificado,5:1,ARDEUT112083,8214,TM,TM,US8923313071 ISIN,ADR,JAPON,New York,Semi-Anl,"Consumer, Cyclical",Link
227,TRAVELERS COS INC/THE,Calificado y No Calificado,6:1,ARDEUT116100,8437,TRV,TRV,US89417E1091 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Financial,Link
228,TRIP.COM GROUP LTD-ADR,Calificado y No Calificado,2:1,ARBCOM460226,8507,TCOM,TCOM,US89677Q1076 ISIN,ADR,CHINA,NASDAQ GS,Annual,Communications,Link
229,TRIPADVISOR INC,Calificado y No Calificado,2:1,ARBCOM4601O9,8483,TRIP,TRIP,US8969452015 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,None,Communications,Link
230,TWITTER INC,Calificado y No Calificado,2: 1,ARBCOM4601L5,8480,TWTR,TWTR,US90184L1026 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,None,Communications,Link
231,ULTRAPAR PARTICPAC-SPON ADR,Calificado y No Calificado,1:1,ARBCOM4602C2,8516,UGP,UGP,US90400P1012 ISIN,ADR,BRASIL,New York,Semi-Anl,Energy,Link
232,UNILEVER N V -NY SHARES,Calificado y No Calificado,3:1,ARDEUT112091,8215,UN,UN,US9047847093 ISIN,NY Reg Shrs,REINO UNIDO,New York,Quarter,"Consumer, Non-cyclical",Link
233,UNION PACIFIC CORP,Calificado y No Calificado,20:1,ARBCOM460382,8540,UNP,UNP,US9078181081 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Industrial,Link
234,UNITED STATES STEEL CORP,Calificado y No Calificado,3:1,ARDEUT116068,8433,X,X,US9129091081 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Basic Materials,Link
235,UNITEDHEALTH GROUP INC,Calificado y No Calificado,33:1,ARBCOM460390,8541,UNH,UNH,US91324P1021 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,"Consumer, Non-cyclical",Link
236,URBAN OUTFITTERS INC,Calificado y No Calificado,2:1,ARBCOM4601Q4,8485,URBN,URBN,US9170471026 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,None,"Consumer, Cyclical",Link
237,US BANCORP,Calificado y No Calificado,1:1,ARDEUT112919,8287,USB,USB,US9029733048 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Financial,Link
238,VALE SA-SP ADR,Calificado y No Calificado,2:1,ARDEUT113925,8358,VALE,VALE,US91912E1055 ISIN,ADR,BRASIL,New York,Semi-Anl,Basic Materials,Link
239,VEDANTA LTD-ADR,Calificado y No Calificado,1:1,ARBCOM4601X0,8504,VEDL,VEDL,US92242Y1001 ISIN,ADR,INDIA,New York,Irreg,Basic Materials,Link
240,VERISIGN INC,Calificado y No Calificado,6:1,ARBCOM4600U8,8489,VRSN,VRSN,US92343E1029 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,None,Communications,Link
241,VERIZON COMMUNICATIONS INC,Calificado y No Calificado,2:1,ARDEUT112927,8288,VZ,VZ,US92343V1044 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Communications,Link
242,VISA INC-CLASS A SHARES,Calificado y No Calificado,6:1,ARBCOM460127,8495,V,V,US92826C8394 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Financial,Link
243,VISTA OIL & GAS SAB DE CV,Calificado y No Calificado,1:5,ARBCOM4602V2,8527,VIST,VIST US,US92837L1098 ISIN,ADR,MEXICO,New York,None,Energy,Link
244,VODAFONE GROUP PLC-SP ADR,Calificado y No Calificado,1:1,ARDEUT110590,8064,VOD,VOD,US92857W3088 ISIN,ADR,REINO UNIDO,NASDAQ GS,Semi-Anl,Communications,Link
245,WALGREENS BOOTS ALLIANCE INC,Calificado y No Calificado,3:1,ARBCOM4603A4,8542,WBA,WBA,US9314271084 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,Quarter,"Consumer, Cyclical",Link
246,WALMART INC,Calificado y No Calificado,6:1,ARDEUT110400,8044,WMT,WMT,US9311421039 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,"Consumer, Cyclical",Link
247,WALT DISNEY CO/THE,Calificado y No Calificado,4:1,ARDEUT110137,8017,DIS,DIS,US2546871060 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Semi-Anl,Communications,Link
248,WEIBO CORP-SPON ADR,Calificado y No Calificado,6:1,ARBCOM460259,8513,WBO,WB,US9485961018 ISIN,ADR,CHINA,NASDAQ GS,None,Communications,Link
249,WELLS FARGO & CO,Calificado y No Calificado,5:1,ARDEUT110434,8047,WFC,WFC,US9497461015 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Financial,Link
250,WESTPAC BANKING CORP-SP ADR,Calificado y No Calificado,3:1,ARDEUT113065,8302,WBK,WBK,US9612143019 ISIN,ADR,AUSTRALIA,New York,Semi-Anl,Financial,Link
251,XEROX HOLDINGS CORP,Calificado y No Calificado,1:1,ARBCOM4600W4,8490,XRX,XRX,US98421M1062 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Technology,Link
252,YAMANA GOLD INC,Calificado y No Calificado,1:1,ARDEUT115375,8415,AUY,AUY,CA98462Y1007 ISIN,Acción ordinaria,CANADA,New York,Quarter,Basic Materials,Link
253,YANZHOU COAL MINING-SP ADR,Solo Calificado,2:1,ARDEUT114758,8397,YZCA,YZCAY,US9848461052 ISIN,ADR,CHINA,OTC US,Annual,Energy,Link
254,YELP INC,Calificado y No Calificado,2:1,ARBCOM4600Y0,8491,YELP,YELP,US9858171054 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,None,Communications,Link
255,ZOOM VIDEO COMMUNICATIONS-A,Calificado y No Calificado,47:1,ARBCOM4603B2,8543,ZM,ZM,US98980L1017 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,None,Technology,Link
